item_id,shop_id,cat_id,name,price 2021-08-12,price 2021-08-13,price 2021-08-14,price 2021-08-15,price 2021-08-16,price 2021-08-17,sold 2021-08-12,sold 2021-08-13,sold 2021-08-14,sold 2021-08-15,sold 2021-08-16,sold 2021-08-17,availibility,min_sold,max_sold,delta_sold,avg_price,est_gmv
2931396916,243477967,100630,Masker Hanasui Naturgo BPOM Medis Masker Wajah Lumpur Lightening Peel Off Komedo Face Mask Murah Ori,1990,-,-,-,-,-,10118,-,-,-,-,-,1,10118,10118,0,1990,0
2004390259,11143438,100630,[BUY 1 GET [1] 20GRAM LEA GLORIA MASKER LEA MASKER LEA GLORIA MASKER ORGANIK LEA MASKER WAJAH,660,660,660,660,660,660,774126,774134,775349,776352,777097,777802,6,774126,777802,3676,660,2426160
10116264990,233420365,100630,PERFECT BREAST MASK Permbesar Payudara & Pengencang Payudara Alami Herbal,-,25000,25000,25000,25000,-,-,10151,10151,10151,10151,-,4,10151,10151,0,25000,0
1966754001,59971631,100630,[10gr] Masker organik oat facemask & scrub,1690,1690,1690,1690,1690,1690,351065,351128,352094,352871,353607,354400,6,351065,354400,3335,1690,5636150
5710661209,11143438,100630,[BUY 1 GET [1] LEA GLORIA MASKER LEA BUBUK BY LEA GLORIA 20GRAM MASKER LEA GLORIA,650,-,-,650,-,-,354485,-,-,355539,-,-,2,354485,355539,1054,650,685100
8313536171,382165988,100630,PARFUM THAILAND 35ML HARGA TERBAIK,2850,-,2850,2850,2850,2850,184175,-,185888,187427,189517,191908,5,184175,191908,7733,2850,22039050
10620153012,494442221,100630,Alpha Rules Face Up Sabun Cuci Muka Perawatan Pembersih  Wajah Facial Wash Pria Cowok Original BPOM,-,125000,125000,125000,125000,125000,-,9890,9893,9893,9899,9899,5,9890,9899,9,125000,1125000
9146353358,18389453,100630,[BPOM] PAKET WAJAH BIERLIAN SKINCARE,-,260000,260000,-,260000,260000,-,11402,11402,-,11402,11402,4,11402,11402,0,260000,0
6748863961,298578186,100630,INNISFREE MY REAL SQUEEZE SHEET MASK 23ML / MASKER INNISFREE,3700,3700,3700,3700,3700,3700,58748,58792,59457,60220,60933,61504,6,58748,61504,2756,3700,10197200
7920169927,235645670,100630,MASKER ORGANIK BY SHABIRA,1377,1377,1377,1377,1377,1377,622371,622404,624099,625351,626834,629059,6,622371,629059,6688,1377,9209376
